buyNo,buyName,nationName,phone,regDateStr,detailLink,country_iso
3641,Oasis Infobyte,인도/뉴델리,-,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3641,
3640,True Digital,태국/방콕,(+66) 2 021 0200,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3640,
3639,WiseTech Global,호주/시드니,(+61) 2 8001 2200,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3639,
3638,SafetyCulture,호주/시드니,(+61) 1300 984 245,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3638,
3637,Elmo Software,호주/시드니,(+61) 2 8305 4600,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3637,
3636,TechnologyOne,호주/브리즈번,(+61) 7 3167 7300,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3636,
3635,Nuix,호주/시드니,(+61) 2 8320 9444,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3635,
3634,FourNxt ,아랍에미리트 / 두바이,(+971) 5 086 02393,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3634,
3633,Dynagraph ,아랍에미리트 / 두바이,(+971) 4 347 7724,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3633,
3632,Omnia ,아랍에미리트 / 두바이,(+971) 4 367 1414,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3632,
3631,OSN,아랍에미리트 / 두바이,(+966) 11 479 6568 ,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3631,
3630,ITP Media Group ,아랍에미리트 / 두바이,(+971) 4 444 3000,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3630,
3629,Alsayegh ,아랍에미리트 / 두바이,(+971) 4 444 1000,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3629,
3628,GTECH Information Technology ,아랍에미리트 / 두바이,(+971) 4 328 5071,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3628,
3627,5dVR,이집트/카이로,(202) 25259910 or (202) 25256793,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3627,
3626,VRTEEK,이집트/카이로,20 1281122335,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3626,
3625,MIX Reality,브라질/상파울로,(+55) 11 94329-8384,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3625,
3624,4DMedical,호주/뉴사우스웨일스,(+61) 3 9545 5940,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3624,
3623,Vodafone,영국/버크셔,-,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3623,
3622,Cindicator,싱가포르/싱가포르,-,2023.07.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3622,
3621,Universal Robots,덴마크 / 오덴세,(+45) 89 93 89 89,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3621,
3620,Snowflake,미국 / 캘리포니아,(+1) 844-766-9353,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3620,
3619,Nuro,미국 / 캘리포니아,-,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3619,
3618,Brex,미국 / 캘리포니아,(+1) 833 228 2044,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3618,
3617,Samsara,미국 / 캘리포니아,(+1) 866-438-4066,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3617,
3616,Instacart,미국 / 캘리포니아,(+1) 888-246-7822,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3616,
3615,GrubHub,미국 / 뉴욕,(+1) 877-585-1085,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3615,
3614,Doordash,미국 / 캘리포니아,(+1) 855-973-1040,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3614,
3613,Robinhood,미국 / 캘리포니아,(+1) 650-940-2700,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3613,
3612,Slack,미국 / 캘리포니아,(+1) 888-767-5475,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3612,
3611,Stripe,미국 / 캘리포니아,(+1) 888-963-8950,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3611,
3610,Bill,미국 / 캘리포니아,(+1) (800) 993-1910,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3610,
3609,Remitly,미국 / 시애틀,(+1) (888) 736-4859,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3609,
3608,CoinMe,미국 / 시애틀,(+1) (800) 944-3405,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3608,
3607,INTEREL,아랍에미리트 / 두바이,(+971) 4 447 9845,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3607,
3606,AION Innovations,이집트 / 기자,(+20) 100 834 8299,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3606,
3605,iWire Group,아랍에미리트 / 두바이,(+971) 4 2145600,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3605,
3604,City Brain,이집트 / 알렉산드리아,(+20) 100 9797 626,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3604,
3603,Sahab Smart Solutions,아랍에미리트 / 샤르자,(+971) 6 562 5633,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3603,
3602,DGWorld,아랍에미리트 / 두바이,(+971) 800349800,2023.06.29,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3602,
3601,Avanza Innovations,아랍에미리트 / 두바이,(+971) 4 388 7731,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3601,
3600,Sadeem Technology ,사우디 아라비아 / 제다,(+966) 583599599 (+966) 128087951,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3600,
3599,Shttle,사우디 아라비아 / 리야드,-,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3599,
3598,SmartHomeCo,사우디 아라비아 / 리야드,(+966) 11 201 2005,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3598,
3597,Arabian Homes Company,사우디 아라비아 / 리야드,(+966) 54 525 2211,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3597,
3596,UpLogica,사우디 아라비아 / 알 코바르,(+966) 13 8202540,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3596,
3595,Arenco,사우디 아라비아 / 리야드,(+966) 566663964,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3595,
3594,Smart Homes,사우디 아라비아 / 리야드,(+966) 9200 28541,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3594,
3593,Smart Homes,사우디 아라비아 / 제다,(+966) 533 338 883,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3593,
3592,Smart Energy Savings(SES),아랍에미리트 / 아부다비,(+971) 50 4720140,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3592,
3591,SolarEdge Technologies,이스라엘 / 헤르츨리야,(+972) 9  957 6620,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3591,
3590,ASASYAT AL TAQA,사우디 아라비아 / 알 코바르,(+966) 13 866 8100,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3590,
3589,REENGEN,튀르키예 / 이스탄불,(+90) 212 924 2412,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3589,
3588,GreenBee,아랍에미리트 / 두바이,(+971) 55 162 5151,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3588,
3587,Transport for Cairo,이집트 / 카이로,-,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3587,
3586,Careem,아랍에미리트 / 두바이,(+971) 4 440 5222,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3586,
3585,Dubai Technologies,아랍에미리트 / 두바이,(+971) 4 222 4222,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3585,
3584,Barq EV,아랍에미리트 / 두바이,-,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3584,
3583,MENA Mobility LLC,아랍에미리트 / 두바이,(+971) 4 294 8111,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3583,
3582,Global Business Solutions Co LTD (GBS),사우디아라비아 / 알 코바르,(+966) 13 828 3555,2023.05.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3582,
3581,Angoka,영국 / 벨파스트,(+44) 020 3190 5000,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3581,
3580,ui!,독일 / 다름슈타트,(+49) 0 6151 4 93 20 60,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3580,
3579,Scitum,멕시코 / 멕시코 시티,(+52) 55 9150 7400,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3579,
3578,Masterplan.com,독일 / 보훔,(+49) 0234 8105 0200,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3578,
3577,itslearning,노르웨이 / 베르겐,(+47) 55 23 60 70,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3577,
3576,Altar.io,포르투갈 / 리스본,(+351) 963630105,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3576,
3575,Quytech,인도 / 하리아나,(+91) 704 229 5974,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3575,
3574,Labrys,호주 / 브리즈번,(+61) 730733938,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3574,
3573,Nubiral,아르헨티나 / 부에노스 아이레스,(+54) 810 345 6677,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3573,
3572,Dedalus Prime,브라질 / 상파울루,(+55) 11 3049 0150,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3572,
3571,Công ty Cổ phần Viễn thông - Tin học Bưu điện (CTIN),베트남 / 하노이,(+84) 24 38634597,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3571,
3570,Siradel,프랑스 / 생-그레구아르,(+33) 2 23 480 500,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3570,
3569,e-Core,브라질 / 포르투알레그리,(+55) 51 3105 0041,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3569,
3568,Indicium,브라질 / 플로리아노폴리스,(+55) 48 3371 7293,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3568,
3567,Bix Tecnologia,브라질 / 플로리아노폴리스,(+55) 48 99659 5490,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3567,
3566,adeunis,프랑스 / 크롤스,(+33) 04 76 92 01 62,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3566,
3565,Picacity AI,캐나다 / 퀘벡,-,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3565,
3564,EVC (Experts Vision Consulting),사우디 아라비아 / 리야드,(+966) 12 597 0717,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3564,
3563,Planet Smart City,영국 / 런던,(+44) 020 3585 4553,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3563,
3562,bee smart city GmbH,독일 / 뭘하임,(+49) 208 62801331,2023.04.25,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3562,
3561,Sertis,태국 / 방콕,(+66) 2 001 1893,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3561,
3560,Strateq Group,말레이시아 / 셀랑고르,(+60) 3 9213 1313 / (+60) 3 7957 7900,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3560,
3559,Accubits Technologies,미국 / 버지니아,(+1) 703 337 3121,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3559,
3558,DECE Software,튀르키예 / 앙카라,(+90) 312 988 11 33,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3558,
3557,Edicom,스페인 / 발렌시아,(+34) 961 366 565,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3557,
3556,Bismart,스페인 / 바르셀로나,(+34) 931 786 880,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3556,
3555,Clariba Seidor,아랍에미리트 / 두바이,(+971) 4 431 5011,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3555,
3554,Tenece Professional Services,나이지리아 / 라고스,(+234) 80 8663 1919,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3554,
3553,Brain Corp,미국 / 샌디에이고,(+1) 858 689 7600,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3553,
3552,MO Technologies,콜롬비아 / 보고타,(+57) 1 3222710,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3552,
3551,Fintoc,칠레 / 산티아고 ,(+56) 9 8199 1990,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3551,
3550,Ceptinel RegTech,칠레 / 산티아고 ,(+56) 9 9666 8379,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3550,
3549,Artiza Networks,일본 / 도쿄,(+81) 042 529 3494,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3549,
3548,Aivo,미국 / 샌프란시스코,(+1) 415 849 2288,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3548,
3547,Deeyook,이스라엘 / 텔아비브야파,-,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3547,
3546,Webbing,이스라엘 / 페타크틱바,(+972) 03 900 1202,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3546,
3545,Ixpandit Fintech Factory,아르헨티나 / 부에노스 아이레스,-,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3545,
3544,Creditas,브라질 / 상파울루,(+55) 11 3522 8009,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3544,
3543,CloudWalk,브라질 / 상파울루,(+55) 11 4780 5454,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3543,
3542,Bitso,멕시코 / 멕시코 시티,(+52) 55 4164 6888,2023.03.27,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3542,
3541,iyzico,튀르키예 / 이스탄불,(+90) 216 599 01 00,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3541,
3540,Papara,튀르키예 / 이스탄불,(+90) 850 340 03 50,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3540,
3539,Global Accelerex,나이지리아 / 라고스,(+234) 01 295 1655,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3539,
3538,Flutterwave,미국 / 샌프란시스코,(+1) 857 919 4613,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3538,
3537,Helium Health,나이지리아 / 라고스,(+234) 01 888 3344,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3537,
3536,CarePatron,뉴질랜드 / 타우랑가,(+64) 22 466 7868,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3536,
3535,Spatial Media,호주 / 시드니,(+61) 1300 772 842,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3535,
3534,Greycon,영국 / 런던,(+44) 2079780700,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3534,
3533,Eliadis,프랑스 / 일드 프랑스,(+33) 01 41 29 03 29,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3533,
3532,Kauel,칠레 / 산티아고 ,(+56) 2 2949 2663,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3532,
3531,Basetis,스페인 / 바르셀로나,(+34) 930 16 03 20,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3531,
3530,Sngular,스페인 / 마드리드,(+34) 917 680 440,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3530,
3529,MASH Virtual,영국 / 런던,(+44) 2080684308,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3529,
3528,Learnster,스웨덴/스톡홀름,(+46) (0)10-2115911,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3528,
3527,Akenza,스위스/취리히,(+41) 44 309 18 18,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3527,
3526,itelteq,멕시코/코아우일라,(+54) 844 415 0707,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3526,
3525,Cloud4Rain,이집트/기자,(+20) 2 3857 8509/6870,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3525,
3524,TrianglZ LLC,이집트/알렉산드리아,(+20) 100 554 6508,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3524,
3523,BlueSoft,폴란드/바르샤바,(+48) 22 37 37 000,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3523,
3522,Wavex,영국/런던,(+44) 020 7030 3210,2023.02.28,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3522,
3521,VU,아르헨티나/부에노스아이레스,(+54) 113 535 3300,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3521,
3520,Future Processing,폴란드/글리비체,(+48) 32 461 23 00,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3520,
3519,Octopeek,프랑스/앙기엥레벵,(+33) 9 53 73 74 74,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3519,
3518,Rebura,영국/런던,(+44) 020 3911 9850,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3518,
3517,Flanks,스페인/바르셀로나,(+34) 930 40 05 44,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3517,
3516,Health Matrix,사우디 아라비아/리야드,(+966) 11 462 6625,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3516,
3515,div Systems,이집트/카이로,(+20) 111 981 3517,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3515,
3514,Oct8ne,스페인/바르셀로나,(+34) 93 655 0660,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3514,
3513,Ilitia Technologies,스페인/마드리드,(+34) 91 386 05 06,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3513,
3512,ISA Cybersecurity,캐나다/온타리오,(+1) 877-591-6711,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3512,
3511,Defentry,스웨덴/스톡홀름,(+46) 8 28 76 28,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3511,
3510,Norbloc,스웨덴/스톡홀름,(+46) 760190215,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3510,
3509,Lucidya,사우디 아라비아/리야드,(+966) 11 453 0865,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3509,
3508,FintechSolutions,아르헨티나/멘도사,(+54) 9 2615 55 2562,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3508,
3507,Solventa Fintech,아르헨티나/부에노스 아이레스,(+54) (11)5276 2310,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3507,
3506,Claris Healthcare, 캐나다/브리티시컬럼비아,(+1) 844-369-9977,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3506,
3505,POC Pharma,베트남/호치민,(+84) 1900 866824,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3505,
3504,Innova,튀르키예/이스탄불,(+90) (212) 329 7000,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3504,
3503,GFT Technologies,독일/슈투트가르트,(+49) 711 62042-0,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3503,
3502,Brightskies, 이집트/알렉산드리아,(+20) 3 5469526,2023.01.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3502,
3501,Avantime,스웨덴/스톡홀름,(+46) 8 599 090 20,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3501,
3500,Applai,스웨덴/스톡홀름,(+46) 8 562 440 00 (+46) 765174911,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3500,
3499,Asteria,스웨덴/스톡홀름,-,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3499,
3498,Sebratec,스웨덴/예테보리,(+46) 73 533 6910,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3498,
3497,Turbotic,스웨덴/스톡홀름,(+46) 8 559 240 01,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3497,
3496,Zenseact,스웨덴/예테보리,(+46) 31 31 36 000,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3496,
3495,Peltarion,스웨덴/스톡홀름,(+46) 73 333 98 90,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3495,
3494,Voyado,스웨덴/스톡홀름,(+46)-8-562 699 30,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3494,
3493,Alite International,스웨덴/말뫼,(+46) (0)10 17 17 390,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3493,
3492,APPTUS,스웨덴/룬드,(+46) 46 27 04 100,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3492,
3491,TrapMe,덴마크/에스비에르,(+45) 2964 4492,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3491,
3490,Seluxit,덴마크/올보르그,(+45) 46 922 722,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3490,
3489,Twistellar,덴마크/코펜하겐,(+45) 23 25 21 97,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3489,
3488,Bluefragments,덴마크/코펜하겐,(+45) 5125 7228,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3488,
3487,Simplyture,덴마크/코펜하겐,(+45) 88 62 67 10,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3487,
3486,Intellishore,덴마크/코펜하겐,(+45) 29 91 60 32,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3486,
3485,Certainly,덴마크/코펜하겐,(+45) 88 74 22 70,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3485,
3484,QloudX,덴마크/코펜하겐,(+45) 3699 2170,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3484,
3483,Covizmo,덴마크/코펜하겐,(+45) 3055 4489,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3483,
3482,Scopito,덴마크/오르후스,(+45) 71 99 29 03,2022.12.05,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3482,
3481,Dynatos ,덴마크/발레럽,(+45) 77 77 10 01,2022.11.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3481,
3480,SupWiz,덴마크/코펜하겐,(+45) 42 94 89 39,2022.11.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3480,
3479,CluedIn,덴마크/코펜하겐,(+45) 91 96 56 95,2022.11.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3479,
3478,Corti,덴마크/코펜하겐,-,2022.11.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3478,
3477,Visiopharm,덴마크/회르스홀름,(+45) 88 20 20 88,2022.11.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3477,
3476,Neurons,덴마크/테스트럽,(+45) 31 76 01 27,2022.11.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3476,
3475,2021.AI,덴마크/코펜하겐,(+ 45) 93 91 20 2,2022.11.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3475,
3474,Forecast,덴마크/코펜하겐,(+45) 61 77 97 22,2022.11.30,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=3474,
